Approved symbol	Approved name	Previous symbols	Alias symbols
SHISAL1	shisa like 1	KIAA1644	
SHISAL2A	shisa like 2A	FAM159A	MGC52498
SHISAL2B	shisa like 2B	FAM159B	
SHKBP1	SH3KBP1 binding protein 1		PP203, Sb1
SHLD1	shieldin complex subunit 1	C20orf196	FLJ25067, RINN3
SHLD2	shieldin complex subunit 2	FAM35A	MGC5560, bA163M19.1, FAM35A1, RINN2
SHLD2P1	shieldin complex subunit 2 pseudogene 1	FAM35B, FAM35EP, FAM35BP	bA38L15.1
SHLD2P2	shieldin complex subunit 2 pseudogene 2	FAM35AP, FAM35A2, FAM35CP	
SHLD2P3	shieldin complex subunit 2 pseudogene 3	FAM35B2, FAM35DP	
SHLD3	shieldin complex subunit 3		AC008560.1, FLJ26957, CTC-534A2.2, RINN1
SHMT1	serine hydroxymethyltransferase 1		cSHMT, SHMT, MGC15229, MGC24556
SHMT1P1	SHMT1 pseudogene 1	SHMT1P	SHMT-ps1
SHMT2	serine hydroxymethyltransferase 2	SHMT	mSHMT
SHOC1	shortage in chiasmata 1	C9orf84	FLJ32779, Zip2, MZIP2
SHOC2	SHOC2 leucine rich repeat scaffold protein		KIAA0862, SOC2, SUR-8, SOC-2, SUR8
SHOX	SHOX homeobox		PHOG, GCFX, SS, SHOXY, SHOX1
SHOX2	SHOX homeobox 2		SHOT, OG12X, OG12
SHPK	sedoheptulokinase	CARKL	SHK
SHPRH	SNF2 histone linker PHD RING helicase		FLJ90837, KIAA2023, bA545I5.2
SHQ1	SHQ1, H/ACA ribonucleoprotein assembly factor		FLJ10539, Shq1p
SHQ1P1	SHQ1, H/ACA ribonucleoprotein assembly factor pseudogene 1		
SHROOM1	shroom family member 1		APXL2, KIAA1960
SHROOM2	shroom family member 2	APXL	
SHROOM2P1	shroom family member 2 pseudogene 1	APXLP	
SHROOM3	shroom family member 3		ShrmL, SHRM, KIAA1481, APXL3
SHROOM3-AS1	SHROOM3 antisense RNA 1		
SHROOM3-AS2	SHROOM3 antisense RNA 2		
SHROOM4	shroom family member 4		KIAA1202, Shrm4, SHAP
SHTN1	shootin 1	KIAA1598	shootin1, shootin-1
SI	sucrase-isomaltase		
SIAE	sialic acid acetylesterase	YSG2	CSE-C, MGC87009, LSE
SIAH1	siah E3 ubiquitin protein ligase 1		hSIAH1
SIAH1P1	siah E3 ubiquitin protein ligase 1 pseudogene 1	SIAH1L	
SIAH2	siah E3 ubiquitin protein ligase 2		
SIAH2-AS1	SIAH2 and CLRN1 antisense RNA 1	CLRN1-AS1	
SIAH3	siah E3 ubiquitin protein ligase family member 3		FLJ39203
SIDT1	SID1 transmembrane family member 1		FLJ20174, SID-1
SIDT1-AS1	SIDT1 antisense RNA 1		
SIDT2	SID1 transmembrane family member 2		CGI-40
SIGIRR	single Ig and TIR domain containing		TIR8, IL-1R8
SIGLEC1	sialic acid binding Ig like lectin 1	SN	SIGLEC-1, CD169, FLJ00051, FLJ00055, FLJ00073, FLJ32150, dJ1009E24.1
SIGLEC5	sialic acid binding Ig like lectin 5	CD33L2	OB-BP2, SIGLEC-5, CD170
SIGLEC6	sialic acid binding Ig like lectin 6	CD33L, CD33L1	OB-BP1, SIGLEC-6, CD327
SIGLEC7	sialic acid binding Ig like lectin 7	SIGLEC19P, SIGLECP2	SIGLEC-7, p75/AIRM1, QA79, CD328
SIGLEC8	sialic acid binding Ig like lectin 8		SIGLEC-8, SAF2, SIGLEC8L, MGC59785
SIGLEC9	sialic acid binding Ig like lectin 9		CD329
SIGLEC10	sialic acid binding Ig like lectin 10		SIGLEC-10, SLG2, PRO940, MGC126774
SIGLEC10-AS1	SIGLEC10 antisense RNA 1		
SIGLEC10-AS2	SIGLEC10 antisense RNA 2		AC008750.1
SIGLEC11	sialic acid binding Ig like lectin 11		
SIGLEC12	sialic acid binding Ig like lectin 12	SIGLECL1	SLG, S2V, Siglec-XII, Siglec-12, Siglec-L1
SIGLEC14	sialic acid binding Ig like lectin 14		
SIGLEC15	sialic acid binding Ig like lectin 15	CD33L3	HsT1361
SIGLEC16	sialic acid binding Ig like lectin 16 (gene/pseudogene)	SIGLECP16	Siglec-P16
SIGLEC17P	sialic acid binding Ig like lectin 17, pseudogene	SIGLECP3	
SIGLEC18P	sialic acid binding Ig like lectin 18, pseudogene	SIGLECP1	
SIGLEC20P	sialic acid binding Ig like lectin 20, pseudogene	SIGLECP4	
SIGLEC21P	sialic acid binding Ig like lectin 21, pseudogene	SIGLECP5	
SIGLEC22P	sialic acid binding Ig like lectin 22, pseudogene	SIGLECP6	
SIGLEC24P	sialic acid binding Ig like lectin 24, pseudogene	SIGLECP8	
SIGLEC25P	sialic acid binding Ig like lectin 25, pseudogene	SIGLECP9	
SIGLEC26P	sialic acid binding Ig like lectin 26, pseudogene	SIGLECP10	
SIGLEC27P	sialic acid binding Ig like lectin 27, pseudogene	SIGLECP11	
SIGLEC28P	sialic acid binding Ig like lectin 28, pseudogene	SIGLECP12	
SIGLEC29P	sialic acid binding Ig like lectin 29, pseudogene	SIGLECP13	
SIGLEC30P	sialic acid binding Ig like lectin 30, pseudogene	SIGLECP14	
SIGLEC31P	sialic acid binding Ig like lectin 31, pseudogene	SIGLECP15	
SIGLECL1	SIGLEC family like 1	C19orf75, SIGLEC23P, SIGLECP7	FLJ40235
SIGMAR1	sigma non-opioid intracellular receptor 1	OPRS1	SR-BP1
SIK1	salt inducible kinase 1	SNF1LK	msk
SIK2	salt inducible kinase 2	SNF1LK2	KIAA0781, QIK, DKFZp434K1115, LOH11CR1I
SIK3	SIK family kinase 3		FLJ12240, L19, KIAA0999, QSK
SIKE1	suppressor of IKBKE 1		FLJ21168, SIKE
SIL1	SIL1 nucleotide exchange factor	MSS	BAP, ULG5
SILC1	sciatic injury induced lincRNA upregulator of SOX11	LINC01105	FLJ30594, LOC150622
SIM1	SIM bHLH transcription factor 1		bHLHe14
SIM1-AS1	SIM1 antisense RNA 1		
SIM2	SIM bHLH transcription factor 2	SIM	MGC119447, bHLHe15
SIMALR	suppressor of inflammatory macrophage apoptosis lncRNA	LINC02528	
SIMC1	SUMO interacting motifs containing 1	C5orf25	FLJ44216, OOMA1, PLEIAD
SIMC1P1	SIMC1 pseudogene 1		
SIN3A	SIN3 transcription regulator family member A		KIAA0700, DKFZP434K2235
SIN3B	SIN3 transcription regulator family member B		KIAA0700
SINHCAF	SIN3-HDAC complex associated factor	C12orf14, FAM60A	TERA
SINHCAFP1	SINHCAF pseudogene 1	FAM60BP	HsT2323
SINHCAFP2	SINHCAF pseudogene 2	FAM60CP	
SINHCAFP3	SINHCAF pseudogene 3	FAM60DP	
SIPA1	signal-induced proliferation-associated 1		SPA1
SIPA1L1	signal induced proliferation associated 1 like 1		KIAA0440, E6TP1, SPAR1
SIPA1L1-AS1	SIPA1L1 antisense RNA 1		
SIPA1L2	signal induced proliferation associated 1 like 2		KIAA1389, SPAR2
SIPA1L3	signal induced proliferation associated 1 like 3		KIAA0545, SPAR3
SIRLNT	SIRT1 regulating lncRNA tumor promoter		lncRNA-PRLB
SIRPA	signal regulatory protein alpha	PTPNS1	SHPS1, SIRP, MYD-1, BIT, P84, SHPS-1, SIRPalpha, CD172a, SIRPalpha2, MFR, SIRP-ALPHA-1
SIRPAP1	signal regulatory protein alpha pseudogene 1	PTPNS1L	SIRPA2P
SIRPB1	signal regulatory protein beta 1		SIRP-BETA-1, CD172b, SIRB1
SIRPB2	signal regulatory protein beta 2	PTPN1L, PTPNS1L3	dJ776F14.2
SIRPB3P	signal regulatory protein beta 3, pseudogene		
SIRPD	signal regulatory protein delta	PTPNS1L2	dJ576H24.4
SIRPG	signal regulatory protein gamma	SIRPB2	bA77C3.1, SIRP-B2, SIRPgamma, CD172g
SIRPG-AS1	SIRPG antisense RNA 1		
SIRT1	sirtuin 1		SIR2L1
SIRT1-AS	SIRT1 antisense RNA		
SIRT2	sirtuin 2	SIR2L	
SIRT3	sirtuin 3		SIR2L3
SIRT4	sirtuin 4		SIR2L4
SIRT5	sirtuin 5		
SIRT6	sirtuin 6		
SIRT7	sirtuin 7		
SIT1	signaling threshold regulating transmembrane adaptor 1		SIT
SIVA1	SIVA1 apoptosis inducing factor		SIVA, Siva-1, Siva-2, CD27BP
SIX1	SIX homeobox 1	DFNA23	
SIX2	SIX homeobox 2		
SIX3	SIX homeobox 3	HPE2	
SIX3-AS1	SIX3 antisense RNA 1		SIX3OS
SIX4	SIX homeobox 4		AREC3
SIX5	SIX homeobox 5	DMAHP	
SIX6	SIX homeobox 6	OPTX2	Six9
SKA1	spindle and kinetochore associated complex subunit 1	C18orf24	MGC10200
SKA2	spindle and kinetochore associated complex subunit 2	FAM33A	FLJ12758
SKA2P1	spindle and kinetochore associated complex subunit 2 pseudogene 1	FAM33B, SKA2L	Em:AC006313.1
SKA3	spindle and kinetochore associated complex subunit 3	C13orf3	MGC4832, RAMA1
SKAP1	src kinase associated phosphoprotein 1	SCAP1	SKAP55
SKAP1-AS1	SKAP1 antisense RNA 1		RP11-456D7.1
SKAP1-AS2	SKAP1 antisense RNA 2		BTR
SKAP2	src kinase associated phosphoprotein 2	SCAP2	RA70, SKAP-HOM, SKAP55R, SAPS
SKI	SKI proto-oncogene		
SKIC2	SKI2 subunit of superkiller complex	SKIV2, SKIV2L	HLP, DDX13, SKI2W, 170A, SKIV2L1, SKI2
SKIC3	SKI3 subunit of superkiller complex	KIAA0372, TTC37	THES, SKI3
SKIC8	SKI8 subunit of superkiller complex	WDR61	REC14, SKI8
SKIDA1	SKI/DACH domain containing 1	C10orf140	FLJ45187
SKIL	SKI like proto-oncogene		SNO, SnoN, SnoA
SKINT1L	Skint1 like (pseudogene)	SKINTP, SKINTL	BTN12
SKOR1	SKI family transcriptional corepressor 1	LBXCOR1	CORL1, FUSSEL15
SKOR1-AS1	SKOR1 antisense RNA 1		AC009292.1
SKOR2	SKI family transcriptional corepressor 2		CORL2, FUSSEL18, Fussel-18
SKP1	S-phase kinase associated protein 1	SKP1A	EMC19, OCP2, TCEB1L, MGC34403, OCP-II, p19A
SKP1P1	S-phase kinase associated protein 1 pseudogene 1	OCP2, TCEB1L, TCEB1P	EMC19
SKP1P2	S-phase kinase associated protein 1 pseudogene 2	SKP1B	p19B
SKP1P3	S-phase kinase associated protein 1 pseudogene 3		
SKP1P4	S-phase kinase associated protein 1 pseudogene 4		
SKP2	S-phase kinase associated protein 2		FBXL1, FBL1, p45
SKP2P1	SKP2 pseudogene 1		
SLA	Src like adaptor		SLA1, SLAP-1, hSLAP, SLAP
SLA2	Src like adaptor 2	C20orf156	FLJ21992, SLAP-2
SLAIN1	SLAIN motif family member 1	C13orf32	FLJ30046
SLAIN2	SLAIN motif family member 2	KIAA1458	FLJ21611
SLAMF1	signaling lymphocytic activation molecule family member 1	SLAM	CD150, IPO-3, IPO3
SLAMF6	SLAM family member 6		KALI, NTBA, KALIb, Ly108, SF2000, NTB-A, CD352
SLAMF6P1	SLAM family member 6 pseudogene 1		
SLAMF7	SLAM family member 7		CRACC, 19A, CS1, CD319
SLAMF8	SLAM family member 8		BLAME, SBBI42, CD353
SLAMF9	SLAM family member 9		CD2F-10, CD84-H1, SF2001
SLBP	stem-loop histone mRNA binding protein		HBP
SLC1A1	solute carrier family 1 member 1		EAAC1, EAAT3, hEAAC1
SLC1A2	solute carrier family 1 member 2		GLT-1, GLT1, EAAT2, HBGT
SLC1A2-AS1	SLC1A2 antisense RNA 1		
SLC1A2-AS2	SLC1A2 antisense RNA 2		AC090625.2
SLC1A3	solute carrier family 1 member 3		EAAT1, GLAST, EA6, GLAST1, GLAST-1
SLC1A3-AS1	SLC1A3 antisense RNA 1		AC008957.1, CTD-2353F22.1
SLC1A4	solute carrier family 1 member 4		SATT, ASCT1, ASCT-1
SLC1A5	solute carrier family 1 member 5	RDRC, M7V1	AAAT, ASCT2
SLC1A6	solute carrier family 1 member 6		EAAT4
SLC1A7	solute carrier family 1 member 7		EAAT5
SLC2A1	solute carrier family 2 member 1	GLUT1, GLUT, HTLVR, CSE	DYT18, DYT9, GLUT-1
SLC2A1-DT	SLC2A1 divergent transcript	SLC2A1-AS1	
SLC2A2	solute carrier family 2 member 2	GLUT2	GLUT-2
SLC2A3	solute carrier family 2 member 3	GLUT3	
SLC2A3P1	solute carrier family 2 member 3 pseudogene 1	GLUT6, GLUT3P1, SLC2A3P	
SLC2A3P2	solute carrier family 2 member 3 pseudogene 2		
SLC2A3P4	solute carrier family 2 member 3 pseudogene 4		
SLC2A4	solute carrier family 2 member 4	GLUT4	
SLC2A4RG	SLC2A4 regulator		GEF, HDBP1, Si-1-2, Si-1-2-19
SLC2A5	solute carrier family 2 member 5	GLUT5	
SLC2A6	solute carrier family 2 member 6		GLUT9, GLUT6, HSA011372
SLC2A7	solute carrier family 2 member 7		GLUT7
SLC2A8	solute carrier family 2 member 8		GLUTX1, GLUT8
SLC2A9	solute carrier family 2 member 9		Glut9, GLUTX, URATv1
SLC2A9-AS1	SLC2A9 antisense RNA 1		
SLC2A9-AS2	SLC2A9 antisense RNA 2		
SLC2A10	solute carrier family 2 member 10		GLUT10, GLUT-10
SLC2A11	solute carrier family 2 member 11		GLUT11
SLC2A12	solute carrier family 2 member 12		GLUT12, GLUT8
SLC2A13	solute carrier family 2 member 13		HMIT
SLC2A13P1	SLC2A13 pseudogene 1		
SLC2A14	solute carrier family 2 member 14	SLC2A3P3	GLUT14
SLC2AXP1	solute carrier family 2 pseudogene 1		
SLC3A1	solute carrier family 3 member 1		CSNU1, D2H, RBAT, ATR1, NBAT
SLC3A2	solute carrier family 3 member 2	MDU1	4T2HC, 4F2, NACAE, CD98, CD98HC, 4F2HC
SLC4A1	solute carrier family 4 member 1 (Diego blood group)	EPB3, AE1, DI, WD	RTA1A, CD233, FR, SW, WR, EMPB3
SLC4A1AP	solute carrier family 4 member 1 adaptor protein		kanadaptin, HLC3
SLC4A1APP1	solute carrier family 4 member 1 adaptor protein pseudogene 1		
SLC4A1APP2	solute carrier family 4 member 1 adaptor protein pseudogene 2		
SLC4A2	solute carrier family 4 member 2	EPB3L1, AE2	HKB3, BND3L, NBND3
SLC4A3	solute carrier family 4 member 3		AE3, SLC2C
SLC4A4	solute carrier family 4 member 4	SLC4A5	NBC1, HNBC1, NBC2, pNBC, hhNMC, kNBC1, KNBC, NBCe1
SLC4A4-AS1	SLC4A4 antisense RNA 1		
SLC4A4-AS2	SLC4A4 antisense RNA 2		
SLC4A5	solute carrier family 4 member 5		NBC4
SLC4A7	solute carrier family 4 member 7	SLC4A6	NBC3, SBC2
SLC4A8	solute carrier family 4 member 8		NBC3
SLC4A8-AS1	SLC4A8 antisense RNA 1		
SLC4A9	solute carrier family 4 member 9		AE4
SLC4A10	solute carrier family 4 member 10		NBCn2, NCBE
SLC4A11	solute carrier family 4 member 11	CHED2, CDPD1	dJ794I6.2, BTR1, NaBC1, FECD4
SLC5A1	solute carrier family 5 member 1	SGLT1	D22S675, NAGT, SGLT-1
SLC5A2	solute carrier family 5 member 2	SGLT2	
SLC5A3	solute carrier family 5 member 3		SMIT, SMIT1
SLC5A4	solute carrier family 5 member 4		SAAT1, SGLT3, DJ90G24.4
SLC5A4-AS1	SLC5A4 antisense RNA 1		RP1-90G24.10
SLC5A4P1	solute carrier family 5 member 4 pseudogene 1		
SLC5A5	solute carrier family 5 member 5		NIS
SLC5A6	solute carrier family 5 member 6		SMVT
SLC5A7	solute carrier family 5 member 7		hCHT, CHT1, ChT
SLC5A8	solute carrier family 5 member 8		AIT
SLC5A9	solute carrier family 5 member 9		SGLT4
SLC5A10	solute carrier family 5 member 10		SGLT5
SLC5A11	solute carrier family 5 member 11		KST1, SMIT2, SGLT6
SLC5A12	solute carrier family 5 member 12		MGC52019, SMCT2
SLC6A1	solute carrier family 6 member 1		GAT1, GABATR, GABATHG, GAT-1, hGAT-1
SLC6A1-AS1	SLC6A1 antisense RNA 1		
SLC6A2	solute carrier family 6 member 2	NET1, NAT1, SLC6A5	NET
SLC6A3	solute carrier family 6 member 3	DAT1	DAT
SLC6A4	solute carrier family 6 member 4	HTT, OCD1	5-HTT, SERT1
SLC6A5	solute carrier family 6 member 5	NET1	GLYT2, GlyT-2
SLC6A6	solute carrier family 6 member 6		TAUT
SLC6A6P1	solute carrier family 6 member 6 pseudogene 1	SLC6A6P	
SLC6A7	solute carrier family 6 member 7		PROT
SLC6A8	solute carrier family 6 member 8		CRTR, CT1, CRT, CRT-1, CRT1
SLC6A9	solute carrier family 6 member 9		GLYT1, GlyT-1
SLC6A10P	solute carrier family 6 member 10, pseudogene	SLC6A10	CT-2
SLC6A11	solute carrier family 6 member 11		GAT3
SLC6A12	solute carrier family 6 member 12		BGT-1
SLC6A12-AS1	SLC6A12 antisense RNA 1		
SLC6A13	solute carrier family 6 member 13		GAT2
SLC6A14	solute carrier family 6 member 14		
SLC6A14P1	SLC6A14 pseudogene 1		
SLC6A14P2	SLC6A14 pseudogene 2		
SLC6A14P3	SLC6A14 pseudogene 3		
SLC6A15	solute carrier family 6 member 15		hv7-3, NTT73, FLJ10316, V7-3, SBAT1
SLC6A16	solute carrier family 6 member 16		NTT5
SLC6A17	solute carrier family 6 member 17		NTT4
SLC6A17-AS1	SLC6A17 antisense RNA 1		
SLC6A18	solute carrier family 6 member 18		FLJ31236, Xtrp2
SLC6A19	solute carrier family 6 member 19		B0AT1
SLC6A20	solute carrier family 6 member 20		XT3, Xtrp3, SIT1, IMINO
SLC6A21P	solute carrier family 6 member 21, pseudogene	SLC6A21	
SLC7A1	solute carrier family 7 member 1	ERR, ATRC1	CAT-1, HCAT1, REC1L
SLC7A2	solute carrier family 7 member 2	ATRC2	CAT-2, HCAT2, SLC7A2A, SLC7A2B, CAT-2A, CAT-2B
SLC7A2-IT1	SLC7A2 intronic transcript 1		
SLC7A3	solute carrier family 7 member 3		CAT-3, ATRC3, FLJ14541
SLC7A4	solute carrier family 7 member 4		HCAT3, CAT-4
SLC7A5	solute carrier family 7 member 5		LAT1, E16, D16S469E, MPE16, CD98
SLC7A5-AS1	SLC7A5 antisense RNA 1		
SLC7A5P1	solute carrier family 7 member 5 pseudogene 1		LAT1-3TM, MLAS
SLC7A5P2	solute carrier family 7 member 5 pseudogene 2		IMAA, hLAT1-3TM
SLC7A6	solute carrier family 7 member 6		y+LAT-2, KIAA0245, LAT3, LAT-2
SLC7A6OS	solute carrier family 7 member 6 opposite strand		FLJ13291, Iwr1
SLC7A7	solute carrier family 7 member 7	LPI	y+LAT-1, Y+LAT1
SLC7A8	solute carrier family 7 member 8		LPI-PC1, LAT2
SLC7A9	solute carrier family 7 member 9	CSNU3	BAT1
SLC7A10	solute carrier family 7 member 10		asc-1
SLC7A10-AS1	SLC7A10 antisense RNA 1		
SLC7A11	solute carrier family 7 member 11		xCT
SLC7A11-AS1	SLC7A11 antisense RNA 1		ENST00000512786
SLC7A11-AS2	SLC7A11 antisense RNA 2		
SLC7A13	solute carrier family 7 member 13		AGT-1, XAT2
SLC7A14	solute carrier family 7 member 14		KIAA1613, PPP1R142
SLC7A14-AS1	SLC7A14 antisense RNA 1		
SLC7A15P	solute carrier family 7 member 15, pseudogene		
SLC8A1	solute carrier family 8 member A1	NCX1	
SLC8A1-AS1	SLC8A1 antisense RNA 1		
SLC8A2	solute carrier family 8 member A2		NCX2, KIAA1087
SLC8A3	solute carrier family 8 member A3		NCX3
SLC8B1	solute carrier family 8 member B1	SLC24A6	FLJ22233, NCKX6, NCLX
SLC9A1	solute carrier family 9 member A1	APNH, NHE1, NHE-1	PPP1R143
SLC9A2	solute carrier family 9 member A2	NHE2	
SLC9A3	solute carrier family 9 member A3	NHE3	NHE-3
SLC9A3-AS1	SLC9A3 antisense RNA 1		UC011CLY.2
SLC9A3-OT1	SLC9A3 3' UTR overlapping transcript 1		PP7080
SLC9A3P1	solute carrier family 9 member 3 pseudogene 1	NHE3P, SLC9A3P, SLC9A3P4	
SLC9A3P2	solute carrier family 9 member 3 pseudogene 2		
SLC9A3P3	solute carrier family 9 member 3 pseudogene 3		
SLC9A3R1-AS1	SLC9A3R1 antisense RNA 1		
SLC9A4	solute carrier family 9 member A4		NHE4
SLC9A5	solute carrier family 9 member A5		NHE5
SLC9A6	solute carrier family 9 member A6		NHE6, KIAA0267, NHE-6
SLC9A7	solute carrier family 9 member A7		NHE7, NHE-7
SLC9A7P1	solute carrier family 9 member 7 pseudogene 1		
SLC9A8	solute carrier family 9 member A8		KIAA0939, NHE8
SLC9A9	solute carrier family 9 member A9		FLJ35613, NHE9
SLC9A9-AS1	SLC9A9 antisense RNA 1		
SLC9A9-AS2	SLC9A9 antisense RNA 2		
SLC9B1	solute carrier family 9 member B1	NHEDC1	NHA1
SLC9B1P1	solute carrier family 9 member B1 pseudogene 1	NHEDC1P1	
SLC9B1P2	solute carrier family 9 member B1 pseudogene 2	NHEDC1P2	
SLC9B1P3	solute carrier family 9 member B1 pseudogene 3		
SLC9B1P4	solute carrier family 9 member B1 pseudogene 4		
SLC9B1P5	solute carrier family 9 member B1 pseudogene 5		
SLC9B2	solute carrier family 9 member B2	NHEDC2	FLJ23984, NHA2
SLC9C1	solute carrier family 9 member C1	SLC9A10	NHE
SLC9C2	solute carrier family 9 member C2 (putative)	SLC9A11	MGC43026
SLC9D1	solute carrier family 9 member D1	C13orf11,TMCO3	FLJ20623
SLC10A1	solute carrier family 10 member 1		NTCP, NTCP1
SLC10A2	solute carrier family 10 member 2	ASBT, ISBT	NTCP2, IBAT
SLC10A3	solute carrier family 10 member 3		P3, DXS253E
SLC10A4	solute carrier family 10 member 4		MGC29802
SLC10A5	solute carrier family 10 member 5		
SLC10A5P1	SLC10A5 pseudogene 1		
SLC10A6	solute carrier family 10 member 6		SOAT
SLC10A7	solute carrier family 10 member 7	C4orf13	MGC25043, DKFZp566M114, DKFZp313H0531, DKFZp779O2438
SLC10A7-AS1	SLC10A7 antisense RNA 1		
SLC11A1	solute carrier family 11 member 1	LSH, NRAMP, NRAMP1	
SLC11A2	solute carrier family 11 member 2	NRAMP2	DCT1, DMT1, DMT-1, FLJ37416
SLC12A1	solute carrier family 12 member 1		NKCC2, CCC2, BSC1, BSC, BSC-1
SLC12A2	solute carrier family 12 member 2		NKCC1, BSC2, BSC-2, PPP1R141, CCC1
SLC12A2-DT	SLC12A2 divergent transcript	LINC01184	FLJ33630
SLC12A3	solute carrier family 12 member 3		NCCT, NCC, TSC
SLC12A4	solute carrier family 12 member 4		KCC1
SLC12A5	solute carrier family 12 member 5		KIAA1176, KCC2, hKCC2
SLC12A5-AS1	SLC12A5 and MMP9 antisense RNA 1		RP11-465L10.10
SLC12A6	solute carrier family 12 member 6	KCC3, ACCPN	KCC3A, KCC3B
SLC12A7	solute carrier family 12 member 7		KCC4, DKFZP434F076
SLC12A8	solute carrier family 12 member 8		CCC9
SLC12A9	solute carrier family 12 member 9		CIP1
SLC12A9-AS1	SLC12A9 antisense RNA 1		RP11-126L15.4
SLC13A1	solute carrier family 13 member 1		NaSi-1, NAS1
SLC13A2	solute carrier family 13 member 2		NaDC-1
SLC13A3	solute carrier family 13 member 3		NADC3, SDCT2
SLC13A4	solute carrier family 13 member 4		SUT-1, SUT1
SLC13A5	solute carrier family 13 member 5		NACT, INDY, mINDY
SLC14A1	solute carrier family 14 member 1 (Kidd blood group)	JK	HsT1341, RACH1, RACH2
SLC14A2	solute carrier family 14 member 2		HUT2, UT2
SLC14A2-AS1	SLC14A2 antisense RNA 1		
SLC15A1	solute carrier family 15 member 1		PEPT1, HPECT1, HPEPT1
SLC15A2	solute carrier family 15 member 2		PEPT2
SLC15A3	solute carrier family 15 member 3		PHT2, hPTR3
SLC15A4	solute carrier family 15 member 4		PHT1, PTR4
SLC15A5	solute carrier family 15 member 5		
SLC16A1	solute carrier family 16 member 1		MCT, MCT1
SLC16A1-AS1	SLC16A1 antisense RNA 1	LINC01357	ENST00000421157.1
SLC16A1P1	SLC16A1 pseudogene 1		
SLC16A2	solute carrier family 16 member 2	DXS128, AHDS, MRX22	XPCT, MCT8, MCT7, DXS128E
SLC16A3	solute carrier family 16 member 3		MCT3, MCT4
SLC16A4	solute carrier family 16 member 4		MCT4, MCT5
SLC16A5	solute carrier family 16 member 5		MCT5, MCT6
SLC16A6	solute carrier family 16 member 6		MCT6, MCT7
SLC16A6P1	SLC16A6 pseudogene 1		
SLC16A7	solute carrier family 16 member 7		MCT2
SLC16A8	solute carrier family 16 member 8		MCT3, REMP
SLC16A9	solute carrier family 16 member 9	C10orf36	FLJ43803, MCT9
SLC16A10	solute carrier family 16 member 10		TAT1, MCT10
SLC16A11	solute carrier family 16 member 11		FLJ90193, MCT11
SLC16A12	solute carrier family 16 member 12		MCT12, CRT2
SLC16A12-AS1	SLC16A12 antisense RNA 1		
SLC16A13	solute carrier family 16 member 13		MCT13
SLC16A14	solute carrier family 16 member 14		FLJ30794, MCT14
SLC16A14P1	solute carrier family 16 member 14 pseudogene 1		
SLC17A1	solute carrier family 17 member 1	NPT1	NAPI-1
SLC17A2	solute carrier family 17 member 2		NPT3
SLC17A3	solute carrier family 17 member 3		NPT4
SLC17A4	solute carrier family 17 member 4		KIAA2138
SLC17A5	solute carrier family 17 member 5	SIASD	AST, SD, ISSD, NSD, SIALIN, SLD
SLC17A6	solute carrier family 17 member 6		DNPI, VGLUT2
SLC17A6-DT	SLC17A6 divergent transcript		lncRNA-Glu
SLC17A7	solute carrier family 17 member 7		BNPI, VGLUT1
SLC17A8	solute carrier family 17 member 8	DFNA25	VGLUT3
SLC17A9	solute carrier family 17 member 9	C20orf59	FLJ23412, VNUT
SLC18A1	solute carrier family 18 member A1	VMAT1, VAT1	CGAT
SLC18A2	solute carrier family 18 member A2	VMAT2	SVMT, SVAT, VAT2
SLC18A2-AS1	SLC18A2 antisense RNA 1		
SLC18A3	solute carrier family 18 member A3		VACHT
SLC18B1	solute carrier family 18 member B1	C6orf192	dJ55C23.6
SLC19A1	solute carrier family 19 member 1		FOLT, RFC1, IFC-1, RFC, hRFC, RFT-1
SLC19A2	solute carrier family 19 member 2	TRMA	THTR1, ThT1
SLC19A3	solute carrier family 19 member 3		THTR2, thTr-2, hTHTR2
SLC19A4P	solute carrier family 19 member 4, pseudogene	C2orf83	DKFZp547H025
SLC20A1	solute carrier family 20 member 1	GLVR1	PiT-1, Glvr-1, PiT1
SLC20A1-DT	SLC20A1 divergent transcript		
SLC20A1P1	solute carrier family 20 member 1 pseudogene 1		
SLC20A1P2	solute carrier family 20 member 1 pseudogene 2		
SLC20A1P3	solute carrier family 20 member 1 pseudogene 3		
SLC20A2	solute carrier family 20 member 2	MLVAR, GLVR2	PiT-2, Glvr-2, Ram-1, PIT2
SLC22A1	solute carrier family 22 member 1		OCT1
SLC22A2	solute carrier family 22 member 2		OCT2
SLC22A3	solute carrier family 22 member 3		OCT3, EMT
SLC22A4	solute carrier family 22 member 4	DFNB60	OCTN1, MGC34546
SLC22A5	solute carrier family 22 member 5	CDSP	OCTN2, SCD
SLC22A6	solute carrier family 22 member 6		ROAT1, PAHT, OAT1
SLC22A7	solute carrier family 22 member 7		NLT, OAT2
SLC22A8	solute carrier family 22 member 8		OAT3
SLC22A9	solute carrier family 22 member 9		OAT4, FLJ23666, UST3, OAT7
SLC22A10	solute carrier family 22 member 10 (gene/pseudogene)		OAT5, hOAT5
SLC22A11	solute carrier family 22 member 11		OAT4
SLC22A12	solute carrier family 22 member 12		OAT4L, RST, URAT1, hURAT1, UAT
SLC22A13	solute carrier family 22 member 13	ORCTL3	OCTL1, OCTL3, OAT10
SLC22A14	solute carrier family 22 member 14	ORCTL4	OCTL2
SLC22A15	solute carrier family 22 member 15		FLIPT1
SLC22A16	solute carrier family 22 member 16		FLIPT2, CT2, OKB1, OAT6
