Approved symbol	Approved name	Previous symbols	Alias symbols
ACADL	acyl-CoA dehydrogenase long chain		LCAD, ACAD4
ACADM	acyl-CoA dehydrogenase medium chain		MCAD, MCADH, ACAD1
ACADS	acyl-CoA dehydrogenase short chain		SCAD, ACAD3
ACADSB	acyl-CoA dehydrogenase short/branched chain		SBCAD, ACAD7
ACADVL	acyl-CoA dehydrogenase very long chain		VLCAD, LCACD, ACAD6
ACAN	aggrecan	MSK16, CSPG1, AGC1	CSPGCP
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041, CNT-B2
ACAP2-IT1	ACAP2 intronic transcript 1		
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL
ACAT2	acetyl-CoA acetyltransferase 2		
ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	GCP60, PAP7
ACBD3-AS1	ACBD3 antisense RNA 1		RP11-275I14.4
ACBD4	acyl-CoA binding domain containing 4		FLJ13322
ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417, KIAA1996
ACBD6	acyl-CoA binding domain containing 6		MGC2404
ACBD7	acyl-CoA binding domain containing 7		FLJ38219, bA455B2.2
ACBD7P1	ACBD7 pseudogene 1		
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		PHACS, ACS
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like		
ACCSLP1	ACCSL pseudogene 1		
ACD	ACD shelterin complex subunit and telomerase recruitment factor		Ptop, Pip1, Tpp1, Tint1
ACE	angiotensin I converting enzyme	DCP1	ACE1, CD143
ACE2	angiotensin converting enzyme 2		ACEH
ACE2-DT	ACE2 divergent transcript		GS1-594A7.3
ACE3P	angiotensin I converting enzyme 3, pseudogene		
ACER1	alkaline ceramidase 1	ASAH3	
ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587, ALKCDase2
ACER2P1	ACER2 pseudogene 1		
ACER3	alkaline ceramidase 3	PHCA	FLJ11238, APHC
ACER3-AS1	ACER antisense RNA 1		
ACHE	acetylcholinesterase (Yt blood group)	YT	
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670, fSAP152
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	CCBP1, GPD, Dfy, CD234
ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	CCR10, D6, CCR9
ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	RDC1, GPR159
ACKR4	atypical chemokine receptor 4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1
ACKR4P1	ACKR4 pseudogene 1	CCRL1P, CCRL1P1	dJ509I19.4
ACKR5	atypical chemokine receptor 5	ADMR, GPR182	hrhAMR, G10D, AM-R
ACLY	ATP citrate lyase		ATPCL, CLATP, ACL
ACMSD	aminocarboxymuconate semialdehyde decarboxylase		
ACNATP	acyl-CoA:amino acid N-acyltransferase, pseudogene	BAATP1	
ACO1	aconitase 1	IREB1	IRP1, IREBP
ACO2	aconitase 2		ACONM
ACO2P1	ACO2 pseudogene 1		
ACO2P2	ACO2 pseudogene 2		
ACOD1	aconitate decarboxylase 1	IRG1	CAD
ACOT1	acyl-CoA thioesterase 1		ACH2, CTE-1, LACH2
ACOT2	acyl-CoA thioesterase 2		Mte1, ZAP128
ACOT4	acyl-CoA thioesterase 4		FLJ31235, PTE-Ib, PTE2B
ACOT4P1	ACOT4 pseudogene 1		
ACOT6	acyl-CoA thioesterase 6	C14orf42	
ACOT7	acyl-CoA thioesterase 7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH
ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III, hTE, PTE-2, NAP1
ACOT9	acyl-CoA thioesterase 9		CGI-16, MT-ACT48, ACATE2
ACOT11	acyl-CoA thioesterase 11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1
ACOT12	acyl-CoA thioesterase 12		Cach, THEAL, STARD15
ACOT13	acyl-CoA thioesterase 13	THEM2	HT012
ACOX1	acyl-CoA oxidase 1		PALMCOX
ACOX2	acyl-CoA oxidase 2		BRCACOX, BRCOX, THCCox
ACOX3	acyl-CoA oxidase 3, pristanoyl		
